อ	A
ธุตฺตก	Dhuttaka
ธุนน	Dhunana
ธุนาติ	Dhunāti
ธุม	Dhuma
ธุร	Dhura
ธุรตา	Dhuratā
ธุรวนฺตฺ	Dhuravant
ธุว	Dhuva
ธูต	Dhūta
ธูป	Dhūpa
ธูปน	Dhūpana
ธูปายติ	Dhūpāyati
ธูปิต	Dhūpita
ธูม	Dhūma
ธูมายติ	Dhūmāyati
ธูมายนา	Dhūmāyanā
ธูมายิตตฺต	Dhūmāyitatta
ธูสร	Dhūsara
เธนุ	Dhenu
เธนุป	Dhenupa
เธยฺย	Dheyya
โธต	Dhota
โธน	Dhona
โธปติ	Dhopati
โธปน	Dhopana
โธรยฺห	Dhorayha
โธเรยฺย	Dhoreyya
โธว	Dhova
โธวติ	Dhovati
โธวน	Dhovana
น	Na
นกุล	Nakula
นกฺขตฺต	Nakkhatta
นข	Nakha
นขก	Nakhaka
นขินฺ	Nakhin
นค	Naga
นคร	Nagara
นครก	Nagaraka
นคฺค	Nagga
นคฺคตฺต	Naggatta
นคฺคิย	Naggiya
นคฺคิยา	Naggiyā
นงฺคล	Naṅgala
นงฺคลินฺ	Naṅgalin
นงฺคุฏฺฐ	Naṅguṭṭha
นงฺคุล	Naṅgula
นจิร	Nacira
นจฺจ	Nacca
นจฺจก	Naccaka
นจฺจติ	Naccati
นจฺจน	Naccana
นชฺชา	Najjā
นชฺชุห	Najjuha
นฏ	Naṭa
นฏก	Naṭaka
นฏติ	Naṭati
นฏฺฐ	Naṭṭha
นฏฺฐน	Naṭṭhana
นฏฺฐายิก	Naṭṭhāyika
นต	Nata
นติ	Nati
นตฺต	Natta
นตฺตรฺ	Nattar
นตฺถิก	Natthika
นตฺถิตา	Natthitā
นตฺถิภาว	Natthibhāva
นตฺถุ	Natthu
นทติ	Nadati
นทน	Nadana
นทิต	Nadita
นที	Nadī
นทฺธ	Naddha
นนนฺทรฺ	Nanandar
นนิกาม	Nanikāma
นนุ	Nanu
นนฺตก	Nantaka
นนฺท	Nanda
นนฺทก	Nandaka
นนฺทติ	Nandati
นนฺทนา	Nandanā
นนฺทิ	Nandi
นนฺทินฺ	Nandin
นนฺธ	Nandha
นนฺธติ	Nandhati
นนฺธิ	Nandhi
นปุํสก	Napuṃsaka
นพฺโภ	Nabbho
นภ	Nabha
นมตก	Namataka
นมติ	Namati
นมน	Namana
นมนา	Namanā
นมสฺสติ	Namassati
นมสฺสน	Namassana
นมสฺสิยา	Namassiyā
นมิต	Namita
นมุจิ	Namuci
นโม	Namo
นย	Naya
นยติ	Nayati
นยน	Nayana
นยฺหติ	Nayhati
นยฺหน	Nayhana
นร	Nara
นรก	Naraka
นรท	Narada
นล	Nala
นลาฏ	Nalāṭa
นลาฏิกา	Nalāṭikā
นลินี	Nalinī
นฬปินฺ	Naḷapin
นว	Nava
นวก	Navaka
นวนีต	Navanīta
นวม	Navama
นวิย	Naviya
นวุติ	Navuti
นวุติย	Navutiya
นสฺสติ	Nassati
นสฺสน	Nassana
นหาต	Nahāta
นหาตก	Nahātaka
นหาน	Nahāna
นหานิย	Nahāniya
นหาปก	Nahāpaka
นหาปน	Nahāpana
นหาปิต	Nahāpita
นหาเปติ	Nahāpeti
นหามินฺ	Nahāmin
นหายติ	Nahāyati
นหารุ	Nahāru
นหุต	Nahuta
นาค	Nāga
นาคร	Nāgara
นาคริก	Nāgarika
นาฏก	Nāṭaka
นาถ	Nātha
นาท	Nāda
นาทิ	Nādi
นาธติ	Nādhati
นานตฺต	Nānatta
นานตฺตตา	Nānattatā
นานา	Nānā
นาภิ	Nābhi
นาม	Nāma
นามก	Nāmaka
นาเมติ	Nāmeti
นายก	Nāyaka
นาราจ	Nārāca
นารี	Nārī
นาล	Nāla
นาลํ	Nālaṃ
นาฬิกา	Nāḷikā
นาฬิเกร	Nāḷikera
นาฬิเกริก	Nāḷikerika
นาฬี	Nāḷī
นาวา	Nāvā
นาวายิก	Nāvāyika
นาวิก	Nāvika
นาวุติก	Nāvutika
นาส	Nāsa
นาสน	Nāsana
นาสา	Nāsā
นาสิก	Nāsika
นาสิตก	Nāsitaka
นาเสติ	Nāseti
นาห	Nāha
นิ	Ni°
นิกจฺจ	Nikacca
นิกฏฺฐ	Nikaṭṭha
นิกณฺณิก	Nikaṇṇika
นิกต	Nikata
นิกติ	Nikati
นิกนฺต	Nikanta
นิกนฺตติ	Nikantati
นิกนฺติ	Nikanti
นิกร	Nikara
นิกรณา	Nikaraṇā
นิกโรติ	Nikaroti
นิกาส	Nikāsa
นิกสาว	Nikasāva
นิกาม	Nikāma
นิกามนา	Nikāmanā
นิกาเมติ	Nikāmeti
นิกาย	Nikāya
นิการ	Nikāra
นิกาสินฺ	Nikāsin
นิกิณฺณ	Nikiṇṇa
นิกิฬิต	Nikiḷita
นิกีฬิตาวินฺ	Nikīḷitāvin
นิกุชฺช	Nikujja
นิกุชฺชติ	Nikujjati
นิกุญฺช	Nikuñja
นิกูชติ	Nikūjati
นิกูชิต	Nikūjita
นิกูฏ	Nikūṭa
นิเกต	Niketa
นิเกตวนฺตฺ	Niketavant
นิเกตินฺ	Niketin
นิกฺกงฺข	Nikkaṅkha
นิกฺกงฺขา	Nikkaṅkhā
นิกฺกฑฺฒติ	Nikkaḍḍhati
นิกฺกฑฺฒนา	Nikkaḍḍhanā
นิกฺกฑฺฒิต	Nikkaḍḍhita
นิกฺกณฺฏก	Nikkaṇṭaka
นิกฺกทฺทม	Nikkaddama
นิกฺกม	Nikkama
นิกฺกมติ	Nikkamati
นิกฺกย	Nikkaya
นิกฺกรุณ	Nikkaruṇa
นิกฺกรุณตา	Nikkaruṇatā
นิกฺกรุณา	Nikkaruṇā
นิกฺกสาว	Nikkasāva
นิกฺกาม	Nikkāma
นิกฺกามินฺ	Nikkāmin
นิกฺการณา	Nikkāraṇā
นิกฺกาส	Nikkāsa
นิกฺกิณาติ	Nikkiṇāti
นิกฺกิณฺณ	Nikkiṇṇa
นิกฺกิเลส	Nikkilesa
นิกฺกุชฺช	Nikkujja
นิกฺกุชฺชติ	Nikkujjati
นิกฺกุชฺชิต	Nikkujjita
นิกฺกุห	Nikkuha
นิกฺโกธ	Nikkodha
นิกฺข	Nikkha
นิกฺขนฺต	Nikkhanta
นิกฺขม	Nikkhama
นิกฺขมติ	Nikkhamati
นิกฺขมน	Nikkhamana
นิกฺขเมติ	Nikkhameti
นิกฺขย	Nikkhaya
นิกฺขิตฺต	Nikkhitta
นิกฺขิตฺตก	Nikkhittaka
นิกฺขิปติ	Nikkhipati
นิกฺเขป	Nikkhepa
นิกฺเขปน	Nikkhepana
นิขนติ	Nikhanati
นิขาต	Nikhāta
นิขาทน	Nikhādana
นิขิล	Nikhila
นิขีณ	Nikhīṇa
นิค	Niga
นิคจฺฉติ	Nigacchati
นิคณฺฐ	Nigaṇṭha
นิคติ	Nigati
นิคม	Nigama
นิคมน	Nigamana
นิคฬ	Nigaḷa
นิคาฬฺหิก	Nigāḷhika
นิคูฬฺห	Nigūḷha
นิคูหติ	Nigūhati
นิคูหน	Nigūhana
นิคฺคจฺฉติ	Niggacchati
นิคฺคณฺฐิ	Niggaṇṭhi
นิคฺคณฺหาติ	Niggaṇhāti
นิคฺคต	Niggata
นิคฺคติก	Niggatika
นิคฺคม	Niggama
นิคฺคมน	Niggamana
นิคฺคยฺหติ	Niggayhati
นิคฺคยฺห-วาทินฺ	Niggayha-vādin
นิคฺคยฺหวาทินฺ	Niggayha-vādin
นิคฺคห	Niggaha
นิคฺคหณ	Niggahaṇa
นิคฺคหณตา	Niggahaṇatā
นิคฺคหีต	Niggahīta
นิคฺคาหก	Niggāhaka
นิคฺคิลติ	Niggilati
นิคฺคุณ	Nigguṇa
นิคฺคุณฺฑิ	Nigguṇḍi
นิคฺคุมฺพ	Niggumba
นิคฺฆาตน	Nigghātana
นิคฺโฆส	Nigghosa
นิคฺโรธ	Nigrodha
นิฆ	Nigha
นิฆํส	Nighaṃsa
นิฆํสติ	Nighaṃsati
นิฆํสน	Nighaṃsana
นิฆณฺฑุ	Nighaṇḍu
นิฆาต	Nighāta
นิฆาติ	Nighāti
นิจย	Nicaya
นิจิต	Nicita
นิจุล	Nicula
นิจฺจ	Nicca
นิจฺจตา	Niccatā
นิจฺจตฺต	Niccatta
นิจฺจมฺม	Niccamma
นิจฺจล	Niccala
นิจฺจิตฺตก	Niccittaka
นิจฺโจล	Niccola
นิจฺฉนฺท	Nicchanda
นิจฺฉย	Nicchaya
นิจฺฉรณ	Niccharaṇa
นิจฺฉรติ	Niccharati
นิจฺฉาต	Nicchāta
นิจฺฉาเทติ	Nicchādeti
นิจฺฉาเรติ	Nicchāreti
นิจฺฉิต	Nicchita
นิจฺฉินาติ	Nicchināti
นิจฺฉุทฺธ	Nicchuddha
นิจฺฉุภติ	Nicchubhati
นิจฺฉุภน	Nicchubhana
นิจฺโฉเทติ	Nicchodeti
นิช	Nija
นิชน	Nijana
นิชิคึสติ	Nijigiṃsati
นิชิคึสนตา	Nijigiṃsanatā
นิชิคึสิตรฺ	Nijigiṃsitar
นิชฺชฏ	Nijjaṭa
นิชฺชร	Nijjara
นิชฺชเรติ	Nijjareti
นิชฺชาเลติ	Nijjāleti
นิชฺชิณฺณ	Nijjiṇṇa
นิชฺชิต	Nijjita
นิชฺชีวต	Nijjīvata
นิชฺฌตฺต	Nijjhatta
นิชฺฌตฺติ	Nijjhatti
นิชฺฌาน	Nijjhāna
นิชฺฌาปน	Nijjhāpana
นิชฺฌาปย	Nijjhāpaya
นิชฺฌาเปติ	Nijjhāpeti
นิชฺฌาม	Nijjhāma
นิชฺฌายติ	Nijjhāyati
นิชฺฌายน	Nijjhāyana
นิฏฺฐ	Niṭṭha
นิฏฺฐา	Niṭṭhā
นิฏฺฐาติ	Niṭṭhāti
นิฏฺฐาน	Niṭṭhāna
นิฏฺฐาปิต	Niṭṭhāpita
นิฏฺฐาเปติ	Niṭṭhāpeti
นิฏฺฐิต	Niṭṭhita
นิฏฺฐุภติ	Niṭṭhubhati
นิฏฺฐุภน	Niṭṭhubhana
นิฏฺฐุรินฺ	Niṭṭhurin
นิฏฺฐุริย	Niṭṭhuriya
นิฑฺฑายติ	Niḍḍāyati
นิฑฺฒ	Niḍḍha
นิณฺหาต	Niṇhāta
นิตมฺพ	Nitamba
นิตมฺมติ	Nitammati
นิตาเฬติ	Nitāḷeti
นิตฺตณฺห	Nittaṇha
นิตฺตทฺทน	Nittaddana
นิตฺตาเรติ	Nittāreti
นิตฺติณ	Nittiṇa
นิตฺติณฺณ	Nittiṇṇa
นิตฺตุทน	Nittudana
นิตฺเตช	Nitteja
นิตฺถนติ	Nitthanati
นิตฺถนน	Nitthanana
นิตฺถรณ	Nittharaṇa
นิตฺถรติ	Nittharati
นิตฺถาร	Nitthāra
นิตฺถุน	Nitthuna
นิตฺถุนติ	Nitthunati
นิทสฺสติ	Nidassati
นิทสฺสน	Nidassana
นิทสฺสิต	Nidassita
นิทสฺเสติ	Nidasseti
นิทหติ	Nidahati
นิทาฆ	Nidāgha
นิทาน	Nidāna
นิฑาหก	Niḍāhaka
นิทฺท	Nidda
นิทฺทนฺต	Niddanta
นิทฺทย	Niddaya
นิทฺทร	Niddara
นิทฺทส	Niddasa
นิทฺทา	Niddā
นิทฺทาน	Niddāna
นิทฺทายติ	Niddāyati
นิทฺทายิตรฺ	Niddāyitar
นิทฺทิฏฺฐ	Niddiṭṭha
นิทฺทิสติ	Niddisati
นิทฺทุกฺข	Niddukkha
นิทฺเทส	Niddesa
นิทฺโทส	Niddosa
นิทฺธน	Niddhana
นิทฺธนฺต	Niddhanta
นิทฺธมติ	Niddhamati
นิทฺธมน	Niddhamana
นิทฺธมนา	Niddhamanā
นิทฺธรณ	Niddharaṇa
นิทฺธาปิต	Niddhāpita
นิทฺธาเปติ	Niddhāpeti
นิทฺธามเส	Niddhāmase
นิทฺธุนาติ	Niddhunāti
นิทฺธุนิย	Niddhuniya
นิทฺธูปน	Niddhūpana
นิทฺโธต	Niddhota
นิทฺโธวติ	Niddhovati
นิธาน	Nidhāna
นิธานวนฺตฺ	Nidhānavant
นิธาเปติ	Nidhāpeti
นิธิ	Nidhi
นิธุร	Nidhura
นิเธติ	Nidheti
นินฺทติ	Nindati
นินฺทน	Nindana
นินฺทา	Nindā
นินฺทิต	Nindita
นินฺทิย	Nindiya
นินฺน	Ninna
นินฺนต	Ninnata
นินฺนาท	Ninnāda
นินฺนาทินฺ	Ninnādin
นินฺนามินฺ	Ninnāmin
นินฺนาเมติ	Ninnāmeti
นินฺนีต	Ninnīta
นินฺเนตรฺ	Ninnetar
นินฺเนติ	Ninneti
นินฺหาต	Ninhāta
นิป	Nipa
นิปก	Nipaka
นิปกฺก	Nipakka
นิปจฺจ-วาทินฺ	Nipacca-vādin
นิปจฺจวาทินฺ	Nipacca-vādin
นิปจฺจาการ	Nipaccākāra
นิปชฺชติ	Nipajjati
นิปตติ	Nipatati
นิปทามเส	Nipadāmase
นิปนฺน	Nipanna
นิปนฺนก	Nipannaka
นิปลาวิต	Nipalāvita
นิปาก	Nipāka
นิปาต	Nipāta
นิปาตก	Nipātaka
นิปาตน	Nipātana
นิปาตินฺ	Nipātin
นิปาเตติ	Nipāteti
นิปุณ	Nipuṇa
นิปฺปการ	Nippakāra
นิปฺปกฺก	Nippakka
นิปฺปชฺชติ	Nippajjati
นิปฺปญฺญ	Nippañña
นิปฺปตติ	Nippatati
นิปฺปตฺต	Nippatta
นิปฺปตฺติ	Nippatti
นิปฺปทา	Nippadā
นิปฺปเทส	Nippadesa
นิปฺปนฺน	Nippanna
นิปฺปปญฺจ	Nippapañca
นิปฺปภ	Nippabha
นิปฺปริยาย	Nippariyāya
นิปฺปลาป	Nippalāpa
นิปฺปลิโพธ	Nippalibodha
นิปฺปาเทติ	Nippādeti
นิปฺปาป	Nippāpa
นิปฺปิติก	Nippitika
นิปฺปิปาส	Nippipāsa
นิปฺปีติก	Nippītika
นิปฺปีฬน	Nippīḷana
นิปฺปีเฬติ	Nippīḷeti
นิปฺปุริส	Nippurisa
นิปฺเปสิก	Nippesika
นิปฺเปสิกตา	Nippesikatā
นิปฺโปถน	Nippothana
นิปฺผชฺชติ	Nipphajjati
นิปฺผชฺชน	Nipphajjana
นิปฺผตฺติ	Nipphatti
นิปฺผตฺติก	Nipphattika
นิปฺผนฺน	Nipphanna
นิปฺผล	Nipphala
นิปฺผลิต	Nipphalita
นิปฺผาณิตตฺต	Nipphāṇitatta
นิปฺผาทก	Nipphādaka
นิปฺผาทน	Nipphādana
นิปฺผาทรฺ	Nipphādar
นิปฺผาทิต	Nipphādita
นิปฺผาทิตรฺ	Nipphāditar
นิปฺผาเทติ	Nipphādeti
นิปฺโผฏน	Nipphoṭana
นิปฺโผเฏติ	Nipphoṭeti
นิพทฺธ	Nibaddha
นิพนฺธ	Nibandha
นิพนฺธติ	Nibandhati
นิพนฺธน	Nibandhana
นิโพธติ	Nibodhati
นิพฺพงฺก	Nibbaṅka
นิพฺพชฺเชติ	Nibbajjeti
นิพฺพตฺต	Nibbatta
นิพฺพตฺตก	Nibbattaka
นิพฺพตฺตติ	Nibbattati
นิพฺพตฺตน	Nibbattana
นิพฺพตฺตนก	Nibbattanaka
นิพฺพตฺตาปน	Nibbattāpana
นิพฺพตฺติ	Nibbatti
นิพฺพตฺติต	Nibbattita
นิพฺพตฺตินฺ	Nibbattin
นิพฺพตฺเตติ	Nibbatteti
นิพฺพน	Nibbana
นิพฺพนถ	Nibbanatha
นิพฺพสน	Nibbasana
นิพฺพหติ	Nibbahati
นิพฺพาติ	Nibbāti
นิพฺพาน	Nibbāna
นิพฺพาปน	Nibbāpana
นิพฺพาปิต	Nibbāpita
นิพฺพาเปติ	Nibbāpeti
นิพฺขายติ	Nibkhāyati
นิพฺพายินฺ	Nibbāyin
นิพฺพาหติ	Nibbāhati
นิพฺพาหน	Nibbāhana
นิพฺพิกปฺป	Nibbikappa
นิพฺพิการ	Nibbikāra
นิพฺพิจิกิจฺฉา	Nibbicikicchā
นิพฺพิชฺฌติ	Nibbijjhati
นิพฺพิฏฺฐ	Nibbiṭṭha
นิพฺพิณฺณ	Nibbiṇṇa
นิพฺพิทา	Nibbidā
นิพฺพิทฺธ	Nibbiddha
นิพฺพินฺทติ	Nibbindati
นิพฺพิริย	Nibbiriya
นิพฺพิวร	Nibbivara
นิพฺพิส	Nibbisa
นิพฺพิสงฺก	Nibbisaṅka
นิพฺพิสติ	Nibbisati
นิพฺพิสย	Nibbisaya
นิพฺพิเสวน	Nibbisevana
นิพฺพิเสส	Nibbisesa
นิพฺพุชฺฌติ	Nibbujjhati
นิพฺพุต	Nibbuta
นิพฺพุติ	Nibbuti
นิพฺพุทฺธ	Nibbuddha
นิพฺพุยฺหติ	Nibbuyhati
นิพฺพุสิตตฺตา	Nibbusitattā
นิพฺเพจิกิจฺฉา	Nibbecikicchā
นิพฺเพชนิย	Nibbejaniya
นิพฺเพฐน	Nibbeṭhana
นิพฺเพฐิต	Nibbeṭhita
นิพฺเพเฐติ	Nibbeṭheti
นิพฺเพธ	Nibbedha
นิพฺเพธก	Nibbedhaka
นิพฺเพมติก	Nibbematika
นิพฺภจฺเจติ	Nibbhacceti
นิพฺภย	Nibbhaya
นิพฺภุชติ	Nibbhujati
นิพฺโภค	Nibbhoga
นิพฺยคฺฆ	Nibyaggha
นิภ	Nibha
นิภตา	Nibhatā
นิภา	Nibhā
นิภาติ	Nibhāti
นิมชฺฌิม	Nimajjhima
นิมนฺตก	Nimantaka
นิมนฺตน	Nimantana
นิมนฺตณิก	Nimantaṇika
นิมนฺติต	Nimantita
นิมนฺเตติ	Nimanteti
นิมิตฺต	Nimitta
นิมินาติ	Nimināti
นิมิส	Nimisa
นิมิสตา	Nimisatā
นิมิสติ	Nimisati
นิมีลติ	Nimīlati
นิมุคฺค	Nimugga
นิมุชฺชติ	Nimujjati
นิมุชฺชา	Nimujjā
นิมุชฺชน	Nimujjana
นิเมส	Nimesa
นิโมกฺข	Nimokkha
นิมฺพ	Nimba
นิมฺมํส	Nimmaṃsa
นิมฺมกฺข	Nimmakkha
นิมฺมกฺขิก	Nimmakkhika
นิมฺมชฺชน	Nimmajjana
นิมฺมถน	Nimmathana
นิมฺมเถติ	Nimmatheti
นิมฺมทน	Nimmadana
นิมฺมทย	Nimmadaya
นิมฺมทฺทน	Nimmaddana
นิมฺมนุสฺส	Nimmanussa
นิมฺมล	Nimmala
นิมฺมาต-ปิติก	Nimmāta-pitika
นิมฺมาตปิติก	Nimmāta-pitika
นิมฺมาตรฺ	Nimmātar
นิมฺมาเทติ	Nimmādeti
นิมฺมาน	Nimmāna
นิมฺมานิยติ	Nimmāniyati
นิมฺมิต	Nimmita
นิมฺมินาติ	Nimmināti
นิมฺมีเลติ	Nimmīleti
นิมฺมูล	Nimmūla
นิมฺโมก	Nimmoka
นิย	Niya
นิยก	Niyaka
นิยต	Niyata
นิยติ	Niyati
นิยม	Niyama
นิยมน	Niyamana
นิยเมติ	Niyameti
นิยาเตติ	Niyāteti
นิยงฺคม	<add style="color:darkgray">[Niyaṅgama
นิยาม	Niyāma
นิยามก	Niyāmaka
นิยามตา	Niyāmatā
นิยาเมติ	Niyāmeti
นิยุชฺชติ	Niyujjati
นิยุตฺตก	Niyutta(ka)
นิโยค	Niyoga
นิโยเชติ	Niyojeti
นิยฺยติ	Niyyati
นิยฺยตฺต	Niyyatta
นิยฺยาต	Niyyāta
นิยฺยาตน	Niyyātana
นิยฺยาตรฺ	Niyyātar
นิยฺยาติ	Niyyāti
นิยฺยาทิต	Niyyādita
นิยฺยาเทติ	Niyyādeti
นิยฺยาน	Niyyāna
นิยฺยานิก	Niyyānika
นิยฺยามก	Niyyāma(ka)
นิยฺยาส	Niyyāsa
นิยฺยูห	Niyyūha
นิรงฺกโรติ	Niraṅkaroti
นิรคฺคล	Niraggala
นิรคฺคิก	Niraggika
นิรชฺชติ	Nirajjati
นิรต	Nirata
นิรตฺต	Niratta
นิรตฺถ	Nirattha
นิรตฺถก	Niratthaka
นิรนฺตร	Nirantara
นิรปราธ	Niraparādha
นิรเปกฺข	Nirapekkha
นิรพฺพุท	Nirabbuda
นิรย	Niraya
นิรวเสส	Niravasesa
นิรสน	Nirasana
นิรสฺสติ	Nirassati
นิรสฺสาท	Nirassāda
นิรากโรติ	Nirākaroti
นิรากุล	Nirākula
นิราตงฺก	Nirātaṅka
นิราทีนว	Nirādīnava
